DATE,COUNTRY,CITY,VALUE
10-01-2020,IN,Bengaluru,71
10-01-2020,IN,Bengaluru,71
11-01-2020,IN,Bengaluru,157
12-01-2020,IN,Bengaluru,84
13-01-2020,IN,Bengaluru,144
14-01-2020,IN,Bengaluru,152
15-01-2020,IN,Bengaluru,119
16-01-2020,IN,Bengaluru,108
17-01-2020,IN,Bengaluru,94
18-01-2020,IN,Bengaluru,78
19-01-2020,IN,Bengaluru,70
20-01-2020,IN,Bengaluru,92
21-01-2020,IN,Bengaluru,96
22-01-2020,IN,Bengaluru,82
23-01-2020,IN,Bengaluru,97
24-01-2020,IN,Bengaluru,112
25-01-2020,IN,Bengaluru,104
26-01-2020,IN,Bengaluru,105
27-01-2020,IN,Bengaluru,109
28-01-2020,IN,Bengaluru,137
29-01-2020,IN,Bengaluru,112
30-01-2020,IN,Bengaluru,112
31-01-2020,IN,Bengaluru,124
01-02-2020,IN,Bengaluru,77
01-02-2020,IN,Bengaluru,77
02-02-2020,IN,Bengaluru,93
03-02-2020,IN,Bengaluru,142
04-02-2020,IN,Bengaluru,85
04-02-2020,IN,Bengaluru,85
05-02-2020,IN,Bengaluru,64
06-02-2020,IN,Bengaluru,29
07-02-2020,IN,Bengaluru,55
07-02-2020,IN,Bengaluru,55
08-02-2020,IN,Bengaluru,54
09-02-2020,IN,Bengaluru,74
10-02-2020,IN,Bengaluru,80
10-02-2020,IN,Bengaluru,80
11-02-2020,IN,Bengaluru,160
12-02-2020,IN,Bengaluru,89
13-02-2020,IN,Bengaluru,103
14-02-2020,IN,Bengaluru,128
15-02-2020,IN,Bengaluru,129
16-02-2020,IN,Bengaluru,103
17-02-2020,IN,Bengaluru,105
18-02-2020,IN,Bengaluru,109
19-02-2020,IN,Bengaluru,119
20-02-2020,IN,Bengaluru,124
21-02-2020,IN,Bengaluru,89
22-02-2020,IN,Bengaluru,89
23-02-2020,IN,Bengaluru,99
24-02-2020,IN,Bengaluru,93
25-02-2020,IN,Bengaluru,108
26-02-2020,IN,Bengaluru,96
27-02-2020,IN,Bengaluru,107
28-02-2020,IN,Bengaluru,112
29-02-2020,IN,Bengaluru,122
01-03-2020,IN,Bengaluru,80
01-03-2020,IN,Bengaluru,80
02-03-2020,IN,Bengaluru,91
03-03-2020,IN,Bengaluru,164
04-03-2020,IN,Bengaluru,94
04-03-2020,IN,Bengaluru,94
05-03-2020,IN,Bengaluru,75
06-03-2020,IN,Bengaluru,32
07-03-2020,IN,Bengaluru,52
07-03-2020,IN,Bengaluru,52
08-03-2020,IN,Bengaluru,58
09-03-2020,IN,Bengaluru,70
10-03-2020,IN,Bengaluru,70
10-03-2020,IN,Bengaluru,70
11-03-2020,IN,Bengaluru,152
12-03-2020,IN,Bengaluru,89
13-03-2020,IN,Bengaluru,91
14-03-2020,IN,Bengaluru,86
15-03-2020,IN,Bengaluru,96
16-03-2020,IN,Bengaluru,77
17-03-2020,IN,Bengaluru,72
18-03-2020,IN,Bengaluru,79
19-03-2020,IN,Bengaluru,100
20-03-2020,IN,Bengaluru,112
21-03-2020,IN,Bengaluru,95
22-03-2020,IN,Bengaluru,82
23-03-2020,IN,Bengaluru,104
24-03-2020,IN,Bengaluru,111
25-03-2020,IN,Bengaluru,73
26-03-2020,IN,Bengaluru,79
27-03-2020,IN,Bengaluru,77
28-03-2020,IN,Bengaluru,73
29-03-2020,IN,Bengaluru,80
30-03-2020,IN,Bengaluru,80
30-03-2020,IN,Bengaluru,80
31-03-2020,IN,Bengaluru,74
31-03-2020,IN,Bengaluru,74
01-04-2020,IN,Bengaluru,137
01-04-2020,IN,Bengaluru,137
02-04-2020,IN,Bengaluru,81
03-04-2020,IN,Bengaluru,137
04-04-2020,IN,Bengaluru,93
04-04-2020,IN,Bengaluru,93
05-04-2020,IN,Bengaluru,82
06-04-2020,IN,Bengaluru,32
07-04-2020,IN,Bengaluru,54
07-04-2020,IN,Bengaluru,54
08-04-2020,IN,Bengaluru,59
09-04-2020,IN,Bengaluru,73
10-04-2020,IN,Bengaluru,57
10-04-2020,IN,Bengaluru,57
11-04-2020,IN,Bengaluru,135
12-04-2020,IN,Bengaluru,63
13-04-2020,IN,Bengaluru,81
14-04-2020,IN,Bengaluru,90
15-04-2020,IN,Bengaluru,81
16-04-2020,IN,Bengaluru,77
17-04-2020,IN,Bengaluru,94
18-04-2020,IN,Bengaluru,85
19-04-2020,IN,Bengaluru,76
20-04-2020,IN,Bengaluru,59
21-04-2020,IN,Bengaluru,52
22-04-2020,IN,Bengaluru,65
23-04-2020,IN,Bengaluru,65
24-04-2020,IN,Bengaluru,67
25-04-2020,IN,Bengaluru,75
26-04-2020,IN,Bengaluru,65
27-04-2020,IN,Bengaluru,61
28-04-2020,IN,Bengaluru,65
29-04-2020,IN,Bengaluru,49
30-04-2020,IN,Bengaluru,64
01-05-2020,IN,Bengaluru,137
01-05-2020,IN,Bengaluru,137
02-05-2020,IN,Bengaluru,85
03-05-2020,IN,Bengaluru,147
04-05-2020,IN,Bengaluru,88
04-05-2020,IN,Bengaluru,88
05-05-2020,IN,Bengaluru,90
06-05-2020,IN,Bengaluru,55
07-05-2020,IN,Bengaluru,62
07-05-2020,IN,Bengaluru,62
08-05-2020,IN,Bengaluru,59
09-05-2020,IN,Bengaluru,99
10-05-2020,IN,Bengaluru,71
11-05-2020,IN,Bengaluru,93
12-05-2020,IN,Bengaluru,59
13-05-2020,IN,Bengaluru,47
14-05-2020,IN,Bengaluru,76
15-05-2020,IN,Bengaluru,58
16-05-2020,IN,Bengaluru,72
17-05-2020,IN,Bengaluru,68
18-05-2020,IN,Bengaluru,55
19-05-2020,IN,Bengaluru,70
20-05-2020,IN,Bengaluru,56
21-05-2020,IN,Bengaluru,62
22-05-2020,IN,Bengaluru,59
23-05-2020,IN,Bengaluru,62
24-05-2020,IN,Bengaluru,57
25-05-2020,IN,Bengaluru,64
26-05-2020,IN,Bengaluru,62
27-05-2020,IN,Bengaluru,61
28-05-2020,IN,Bengaluru,59
29-05-2020,IN,Bengaluru,53
30-05-2020,IN,Bengaluru,57
31-05-2020,IN,Bengaluru,69
01-06-2020,IN,Bengaluru,72
02-06-2020,IN,Bengaluru,113
03-06-2020,IN,Bengaluru,102
04-06-2020,IN,Bengaluru,71
05-06-2020,IN,Bengaluru,72
06-06-2020,IN,Bengaluru,58
07-06-2020,IN,Bengaluru,64
08-06-2020,IN,Bengaluru,61
09-06-2020,IN,Bengaluru,95
10-06-2020,IN,Bengaluru,85
11-06-2020,IN,Bengaluru,69
12-06-2020,IN,Bengaluru,71
13-06-2020,IN,Bengaluru,58
14-06-2020,IN,Bengaluru,56
15-06-2020,IN,Bengaluru,57
16-06-2020,IN,Bengaluru,58
17-06-2020,IN,Bengaluru,62
18-06-2020,IN,Bengaluru,65
19-06-2020,IN,Bengaluru,66
20-06-2020,IN,Bengaluru,62
21-06-2020,IN,Bengaluru,61
22-06-2020,IN,Bengaluru,58
23-06-2020,IN,Bengaluru,68
